open_ts,symbol,open,high,low,close,delta,total_vol
2026-05-03T20:48:35+00:00,BTC_USD@GDAX,81940.00,81940.00,48290.00,48300.00,282,282
2026-05-03T20:48:40+00:00,BTC_USD@GDAX,48190.00,48305.00,48190.00,48300.00,104,176
2026-05-03T20:48:45+00:00,BTC_USD@GDAX,48305.00,48310.00,48300.00,48310.00,-22,32
2026-05-03T20:48:50+00:00,BTC_USD@GDAX,48300.00,48310.00,48295.00,48300.00,96,140
2026-05-03T20:48:55+00:00,BTC_USD@GDAX,48300.00,48305.00,48300.00,48305.00,-5,13
2026-05-03T20:49:00+00:00,BTC_USD@GDAX,48315.00,48315.00,48300.00,48300.00,-10,18
2026-05-03T20:49:05+00:00,BTC_USD@GDAX,48300.00,48305.00,48300.00,48300.00,14,24
2026-05-03T20:49:10+00:00,BTC_USD@GDAX,48305.00,48305.00,48300.00,48300.00,-4,10
2026-05-03T20:49:15+00:00,BTC_USD@GDAX,48325.00,48325.00,48300.00,48300.00,-5,29
2026-05-03T20:49:20+00:00,BTC_USD@GDAX,48300.00,48305.00,48295.00,48300.00,-3,7
2026-05-03T20:49:25+00:00,BTC_USD@GDAX,48185.00,48300.00,48185.00,48290.00,34,50
2026-05-03T20:49:30+00:00,BTC_USD@GDAX,48185.00,48290.00,48185.00,48290.00,-38,46
2026-05-03T20:49:35+00:00,BTC_USD@GDAX,48290.00,48295.00,48290.00,48295.00,-3,7
2026-05-03T20:49:40+00:00,BTC_USD@GDAX,48265.00,48295.00,48265.00,48295.00,70,90
2026-05-03T20:49:45+00:00,BTC_USD@GDAX,48250.00,48295.00,48250.00,48295.00,-10,18
2026-05-03T20:49:50+00:00,BTC_USD@GDAX,48195.00,48295.00,48195.00,48295.00,-8,12
2026-05-03T20:49:55+00:00,BTC_USD@GDAX,48345.00,48345.00,48290.00,48295.00,-75,81
2026-05-03T20:50:00+00:00,BTC_USD@GDAX,48300.00,48300.00,48280.00,48290.00,451,459
2026-05-03T20:50:05+00:00,BTC_USD@GDAX,48290.00,48290.00,48275.00,48275.00,127,181
2026-05-03T20:50:10+00:00,BTC_USD@GDAX,48235.00,48285.00,48235.00,48285.00,-2,38
2026-05-03T20:50:15+00:00,BTC_USD@GDAX,48285.00,48285.00,48280.00,48285.00,14,20
2026-05-03T20:50:20+00:00,BTC_USD@GDAX,48275.00,48285.00,48275.00,48280.00,-4,4
2026-05-03T20:50:25+00:00,BTC_USD@GDAX,48285.00,48285.00,48275.00,48275.00,-15,21
2026-05-03T20:50:30+00:00,BTC_USD@GDAX,48200.00,48280.00,48200.00,48280.00,-8,14
2026-05-03T20:50:35+00:00,BTC_USD@GDAX,48170.00,48285.00,48170.00,48285.00,-8,14
2026-05-03T20:50:40+00:00,BTC_USD@GDAX,48280.00,48285.00,48280.00,48285.00,-3,9
2026-05-03T20:50:45+00:00,BTC_USD@GDAX,48285.00,48285.00,48280.00,48285.00,-59,67
2026-05-03T20:50:50+00:00,BTC_USD@GDAX,48285.00,48285.00,48280.00,48285.00,79,93
2026-05-03T20:50:55+00:00,BTC_USD@GDAX,48285.00,48285.00,48280.00,48285.00,0,18
2026-05-03T20:51:00+00:00,BTC_USD@GDAX,48285.00,48290.00,48280.00,48290.00,-14,30
2026-05-03T20:51:05+00:00,BTC_USD@GDAX,48175.00,48295.00,48175.00,48295.00,-51,87
2026-05-03T20:51:10+00:00,BTC_USD@GDAX,48280.00,48295.00,48280.00,48290.00,9,25
2026-05-03T20:51:15+00:00,BTC_USD@GDAX,48285.00,48295.00,48275.00,48275.00,149,175
2026-05-03T20:51:20+00:00,BTC_USD@GDAX,48285.00,48290.00,48280.00,48290.00,-14,20
2026-05-03T20:51:25+00:00,BTC_USD@GDAX,48290.00,48295.00,48285.00,48295.00,-27,37
2026-05-03T20:51:30+00:00,BTC_USD@GDAX,48295.00,48295.00,48285.00,48290.00,-4,8
2026-05-03T20:51:35+00:00,BTC_USD@GDAX,48285.00,48300.00,48285.00,48300.00,-67,81
2026-05-03T20:51:40+00:00,BTC_USD@GDAX,48180.00,48305.00,48180.00,48300.00,-27,29
2026-05-03T20:51:45+00:00,BTC_USD@GDAX,48295.00,48305.00,48295.00,48300.00,-17,21
2026-05-03T20:51:50+00:00,BTC_USD@GDAX,48305.00,48310.00,48300.00,48300.00,-31,35
2026-05-03T20:51:55+00:00,BTC_USD@GDAX,48290.00,48305.00,48290.00,48305.00,-5,7
2026-05-03T20:52:00+00:00,BTC_USD@GDAX,48300.00,48305.00,48300.00,48300.00,60,76
2026-05-03T20:52:05+00:00,BTC_USD@GDAX,48305.00,48310.00,48300.00,48310.00,-22,24
2026-05-03T20:52:10+00:00,BTC_USD@GDAX,48295.00,48320.00,48295.00,48320.00,-22,70
2026-05-03T20:52:15+00:00,BTC_USD@GDAX,48320.00,48320.00,48310.00,48315.00,-10,14
2026-05-03T20:52:20+00:00,BTC_USD@GDAX,48315.00,48315.00,48310.00,48310.00,-4,12
2026-05-03T20:52:25+00:00,BTC_USD@GDAX,48295.00,48315.00,48295.00,48315.00,-5,9
2026-05-03T20:52:30+00:00,BTC_USD@GDAX,48350.00,48350.00,48310.00,48310.00,-7,9
2026-05-03T20:52:35+00:00,BTC_USD@GDAX,48310.00,48320.00,48310.00,48320.00,-11,43
2026-05-03T20:52:40+00:00,BTC_USD@GDAX,48320.00,48325.00,48320.00,48325.00,-7,17
2026-05-03T20:52:45+00:00,BTC_USD@GDAX,48310.00,48325.00,48310.00,48315.00,30,46
2026-05-03T20:52:50+00:00,BTC_USD@GDAX,48305.00,48320.00,48305.00,48320.00,-2,6
